"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2024-08-25","181,996","181,023","181,996","180,667","1,38%"
"2024-08-18","179,516","181,662","181,662","178,073","2,78%"
"2024-08-11","174,668","169,998","175,504","169,998","3,63%"
"2024-08-04","168,547","173,661","173,661","157,321","-7,80%"
"2024-07-28","182,797","179,481","188,229","179,481","1,48%"
"2024-07-21","180,133","183,700","185,835","180,133","-1,34%"
"2024-07-14","182,587","183,803","186,388","182,587","-1,30%"
"2024-07-07","184,999","178,219","184,999","178,219","3,61%"
"2024-06-30","178,551","174,770","178,551","174,770","2,50%"
"2024-06-23","174,191","168,988","174,191","168,988","2,81%"
"2024-06-16","169,424","173,066","173,066","168,945","-1,40%"
"2024-06-09","171,829","174,539","175,762","171,550","-0,63%"
"2024-06-02","172,918","174,091","176,882","172,918","-0,15%"
"2024-05-26","173,186","174,929","175,939","173,186","-2,21%"
"2024-05-19","177,108","177,994","178,193","176,162","-0,34%"
"2024-05-12","177,714","177,471","177,714","176,836","0,10%"
"2024-05-05","177,534","180,613","180,613","177,534","-2,13%"
"2024-04-28","181,394","175,932","181,394","175,932","3,20%"
"2024-04-21","175,771","174,028","179,186","174,028","-1,46%"
"2024-04-14","178,373","185,344","185,344","178,373","-1,83%"
"2024-04-07","181,700","179,449","181,700","179,252","0,64%"
"2024-03-31","180,539","184,927","184,927","180,222","-2,57%"
"2024-03-24","185,298","185,408","185,408","183,010","1,39%"
"2024-03-17","182,757","175,126","182,757","175,126","4,23%"
"2024-03-10","175,335","178,747","178,747","173,754","-1,38%"
"2024-03-03","177,780","176,190","178,279","176,190","1,72%"
"2024-02-25","174,774","172,606","174,774","172,606","1,32%"
"2024-02-18","172,494","172,684","172,695","171,088","0,98%"
"2024-02-11","170,813","168,968","173,358","168,968","0,76%"
"2024-02-04","169,519","168,183","171,041","168,183","0,17%"
"2024-01-28","169,228","164,951","169,228","164,951","0,61%"
"2024-01-21","168,203","166,982","169,171","166,982","1,65%"
"2024-01-14","165,473","166,319","167,817","165,473","0,74%"
"2024-01-07","164,264","158,029","164,264","158,029","4,84%"
"2023-12-31","156,681","158,604","158,604","156,681","0,13%"
"2023-12-24","156,480","153,988","156,480","153,988","0,95%"
"2023-12-17","155,010","158,447","158,447","154,570","-1,37%"
"2023-12-10","157,167","157,326","158,616","157,167","-1,11%"
"2023-12-03","158,935","156,822","158,935","156,512","1,10%"
"2023-11-26","157,198","155,867","157,198","154,962","0,43%"
"2023-11-19","156,529","156,725","156,725","156,106","0,86%"
"2023-11-12","155,189","156,570","156,570","153,437","-0,84%"
"2023-11-05","156,505","159,941","159,941","155,754","-2,40%"
"2023-10-29","160,357","155,278","160,357","154,641","4,43%"
"2023-10-22","153,559","154,177","155,525","153,559","-0,53%"
"2023-10-15","154,375","159,048","159,048","154,375","-3,48%"
"2023-10-08","159,948","155,859","159,948","155,859","1,92%"
"2023-10-01","156,938","156,571","157,446","154,917","-0,85%"
"2023-09-24","158,276","162,732","162,732","158,276","-4,10%"
"2023-09-17","165,045","169,015","169,015","165,045","-1,97%"
"2023-09-10","168,356","164,152","168,356","164,152","0,76%"
"2023-09-03","167,088","165,130","167,352","165,130","2,14%"
"2023-08-27","163,580","160,239","163,580","160,230","1,26%"
"2023-08-20","161,548","158,693","161,548","157,451","2,52%"
"2023-08-13","157,583","159,010","159,790","157,583","-0,71%"
"2023-08-06","158,710","159,322","161,719","158,710","-1,54%"
"2023-07-30","161,191","162,787","163,200","161,191","-0,26%"
"2023-07-23","161,619","157,558","161,619","157,558","2,51%"
"2023-07-16","157,666","157,624","159,496","157,624","0,03%"
"2023-07-09","157,613","163,238","163,238","157,613","-4,19%"
"2023-07-02","164,509","163,232","166,479","163,232","-0,11%"
"2023-06-25","164,696","164,488","164,696","160,236","-0,83%"
"2023-06-18","166,068","166,393","168,245","166,068","-0,46%"
"2023-06-11","166,838","167,244","169,143","166,838","1,15%"
"2023-06-04","164,942","163,942","168,400","163,942","0,73%"
"2023-05-28","163,747","160,144","163,747","160,144","1,64%"
