"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2024-08-25","353,645","350,678","353,645","349,928","1,28%"
"2024-08-18","349,188","350,386","350,386","346,308","-0,00%"
"2024-08-11","349,188","339,769","349,188","339,616","3,39%"
"2024-08-04","337,746","339,957","339,957","333,551","-3,19%"
"2024-07-28","348,870","354,363","354,363","348,870","-0,68%"
"2024-07-21","351,263","348,989","355,245","348,989","0,88%"
"2024-07-14","348,209","356,312","356,312","348,209","-0,57%"
"2024-07-07","350,189","346,888","350,189","345,798","0,99%"
"2024-06-30","346,765","344,576","346,765","343,778","0,27%"
"2024-06-23","345,823","344,856","346,341","344,856","1,26%"
"2024-06-16","341,515","343,166","343,166","341,515","-1,06%"
"2024-06-09","345,170","352,876","352,876","345,170","-0,97%"
"2024-06-02","348,568","346,699","348,568","345,316","0,38%"
"2024-05-26","347,234","351,984","351,984","346,004","-2,16%"
"2024-05-19","354,906","356,201","356,201","354,906","-0,41%"
"2024-05-12","356,367","353,944","356,367","353,944","1,43%"
"2024-05-05","351,336","342,003","351,336","342,003","3,05%"
"2024-04-28","340,940","344,927","345,453","340,940","0,15%"
"2024-04-21","340,444","335,502","340,910","335,502","1,34%"
"2024-04-14","335,955","337,916","338,151","335,064","-0,12%"
"2024-04-07","336,372","336,794","336,794","334,460","-0,73%"
"2024-03-31","338,835","343,654","343,662","338,835","-0,68%"
"2024-03-24","341,154","337,845","341,154","337,845","1,35%"
"2024-03-17","336,594","331,855","336,594","331,855","1,10%"
"2024-03-10","332,925","328,993","332,925","328,683","0,93%"
"2024-03-03","329,842","324,363","329,842","324,363","2,25%"
"2024-02-25","322,569","324,114","324,114","322,569","-0,14%"
"2024-02-18","323,023","322,569","323,023","321,124","0,83%"
"2024-02-11","320,375","318,630","320,375","318,414","0,43%"
"2024-02-04","319,010","318,307","321,204","318,307","0,46%"
"2024-01-28","317,542","317,660","318,552","316,354","1,44%"
"2024-01-21","313,024","309,422","313,024","309,422","1,25%"
"2024-01-14","309,174","309,231","309,428","307,623","0,51%"
"2024-01-07","307,619","306,773","309,204","306,773","0,08%"
"2023-12-31","307,377","306,721","307,377","306,676","1,14%"
"2023-12-24","303,906","302,985","303,906","302,892","-0,29%"
"2023-12-17","304,788","307,301","307,301","304,688","-1,02%"
"2023-12-10","307,922","306,103","308,050","306,103","1,72%"
"2023-12-03","302,712","302,825","305,039","302,712","-0,14%"
"2023-11-26","303,146","302,266","303,146","298,601","0,41%"
"2023-11-19","301,895","300,076","301,895","298,281","1,45%"
"2023-11-12","297,577","296,065","298,625","296,065","-0,44%"
"2023-11-05","298,903","297,841","298,903","297,134","-0,37%"
"2023-10-29","300,025","288,488","300,025","288,488","2,60%"
"2023-10-22","292,432","295,833","295,833","289,029","-1,62%"
"2023-10-15","297,255","298,414","298,414","296,954","-1,26%"
"2023-10-08","301,059","296,736","301,059","294,744","2,40%"
"2023-10-01","294,004","295,882","295,882","292,980","-0,64%"
"2023-09-24","295,898","306,749","306,749","295,280","-4,47%"
"2023-09-17","309,747","315,040","315,040","309,747","-1,43%"
"2023-09-10","314,241","310,548","314,241","310,548","1,10%"
"2023-09-03","310,821","313,686","313,686","310,754","-0,73%"
"2023-08-27","313,103","311,152","315,013","311,152","0,83%"
"2023-08-20","310,513","308,651","311,227","308,651","0,63%"
"2023-08-13","308,582","313,494","313,494","308,582","-1,31%"
"2023-08-06","312,666","306,371","312,666","306,371","1,45%"
"2023-07-30","308,206","313,632","314,047","308,206","-1,38%"
"2023-07-23","312,514","310,103","312,514","308,219","1,82%"
"2023-07-16","306,921","305,678","306,921","304,323","1,49%"
"2023-07-09","302,402","305,922","306,607","302,402","-1,87%"
"2023-07-02","308,179","315,021","315,021","308,179","-1,31%"
"2023-06-25","312,256","308,825","312,256","305,958","0,88%"
"2023-06-18","309,541","313,523","313,778","309,541","-0,56%"
"2023-06-11","311,299","309,859","311,299","309,658","0,31%"
"2023-06-04","310,351","309,290","310,641","309,290","0,79%"
"2023-05-28","307,919","309,556","309,556","304,729","0,29%"
"2023-05-21","307,022","308,849","310,228","305,650","0,96%"
"2023-05-14","304,097","303,865","304,254","303,865","0,43%"
"2023-05-07","302,805","300,472","302,805","300,183","0,78%"
"2023-04-30","300,465","302,603","302,603","300,465","-0,45%"
"2023-04-23","301,830","303,446","303,669","301,830","0,17%"
"2023-04-16","301,320","301,642","301,642","300,478","0,40%"
"2023-04-09","300,129","297,609","300,129","297,609","1,69%"
"2023-04-02","295,138","293,618","295,138","292,624","0,93%"
"2023-03-26","292,415","281,362","292,415","281,362","3,31%"
"2023-03-19","283,036","276,882","283,036","276,882","1,19%"
"2023-03-12","279,704","288,367","288,367","276,876","-4,11%"
"2023-03-05","291,684","288,676","291,684","288,676","1,98%"
"2023-02-26","286,008","283,362","286,008","283,362","-0,11%"
"2023-02-19","286,334","290,970","290,970","286,147","-1,33%"
"2023-02-12","290,198","286,091","290,198","286,091","0,89%"
"2023-02-05","287,643","294,869","294,869","287,643","-1,25%"
"2023-01-29","291,297","286,147","291,297","286,147","1,99%"
"2023-01-22","285,617","283,715","285,617","283,239","0,71%"
"2023-01-15","283,602","286,647","289,109","283,602","-0,84%"
"2023-01-08","286,006","278,499","286,006","278,499","3,38%"
"2023-01-01","276,651","264,937","276,651","264,937","2,76%"
"2022-12-25","269,214","267,525","269,214","265,875","1,31%"
"2022-12-18","265,725","263,917","267,381","263,718","-0,02%"
"2022-12-11","265,773","269,630","271,117","265,773","-0,68%"
"2022-12-04","267,598","271,647","271,647","267,341","-1,28%"
"2022-11-27","271,060","268,512","271,060","267,938","1,14%"
"2022-11-20","268,011","267,667","268,916","267,667","1,03%"
"2022-11-13","265,278","260,744","265,278","260,744","0,96%"
"2022-11-06","262,754","252,183","262,754","252,183","5,51%"
"2022-10-30","249,027","250,150","251,528","249,027","-0,33%"
"2022-10-23","249,861","245,463","251,488","245,463","1,72%"
"2022-10-16","245,627","241,536","245,627","241,536","1,86%"
"2022-10-09","241,130","239,998","241,130","237,944","-0,62%"
"2022-10-02","242,632","237,460","242,632","237,460","2,77%"
"2022-09-25","236,096","238,830","239,098","235,411","-1,68%"
"2022-09-18","240,124","247,359","247,684","240,124","-3,08%"
