"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2024-08-25","470,187","471,549","471,549","467,258","0,47%"
"2024-08-18","467,987","476,584","476,584","467,987","-1,32%"
"2024-08-11","474,252","456,600","474,252","456,600","4,23%"
"2024-08-04","455,008","459,950","459,950","443,066","-4,03%"
"2024-07-28","474,134","479,986","482,811","474,134","-0,28%"
"2024-07-21","475,483","478,810","488,093","475,483","-0,30%"
"2024-07-14","476,928","484,871","490,386","476,928","-0,49%"
"2024-07-07","479,257","477,039","485,105","477,039","1,40%"
"2024-06-30","472,648","470,312","475,184","470,312","-0,03%"
"2024-06-23","472,771","465,694","472,771","463,573","1,19%"
"2024-06-16","467,211","467,481","469,024","467,211","0,64%"
"2024-06-09","464,223","460,805","464,223","457,380","1,62%"
"2024-06-02","456,820","452,706","456,820","450,914","0,77%"
"2024-05-26","453,338","460,838","460,838","453,338","-1,80%"
"2024-05-19","461,658","462,625","463,784","461,658","-0,17%"
"2024-05-12","462,430","460,239","463,128","459,635","0,79%"
"2024-05-05","458,818","450,828","458,818","450,828","2,24%"
"2024-04-28","448,776","451,198","452,348","448,776","0,86%"
"2024-04-21","444,971","436,659","445,841","436,659","0,49%"
"2024-04-14","442,784","452,168","452,168","442,784","-2,10%"
"2024-04-07","452,302","447,328","452,302","444,062","2,41%"
"2024-03-31","441,664","455,166","455,166","441,664","-2,25%"
"2024-03-24","451,821","448,589","451,821","447,526","1,49%"
"2024-03-17","445,207","431,881","445,207","431,881","2,70%"
"2024-03-10","433,485","427,659","433,485","427,659","0,27%"
"2024-03-03","432,304","431,868","433,231","429,200","0,75%"
"2024-02-25","429,091","427,538","429,091","425,676","0,25%"
"2024-02-18","428,019","426,427","428,019","420,412","0,22%"
"2024-02-11","427,095","427,099","427,765","425,085","0,26%"
"2024-02-04","425,996","422,344","427,002","422,344","2,13%"
"2024-01-28","417,122","415,619","420,651","409,827","0,21%"
"2024-01-21","416,265","413,550","416,301","413,550","1,75%"
"2024-01-14","409,105","402,059","409,105","402,059","1,69%"
"2024-01-07","402,289","391,694","402,289","391,694","2,81%"
"2023-12-31","391,310","393,987","395,159","391,310","0,29%"
"2023-12-24","390,164","389,478","390,164","388,417","-0,49%"
"2023-12-17","392,087","395,901","395,901","390,070","-0,45%"
