"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2024-08-25","207,130","207,030","207,130","205,600","0,77%"
"2024-08-18","205,550","209,230","209,230","205,550","-1,34%"
"2024-08-11","208,350","201,330","208,350","201,330","3,80%"
"2024-08-04","200,730","202,630","202,630","195,590","-3,95%"
"2024-07-28","208,990","211,740","212,310","208,990","-0,33%"
"2024-07-21","209,680","210,670","214,470","209,680","-0,13%"
"2024-07-14","209,950","212,230","215,100","209,950","0,02%"
"2024-07-07","209,910","209,000","211,850","209,000","1,24%"
"2024-06-30","207,330","206,660","208,530","206,660","-0,09%"
"2024-06-23","207,510","204,340","207,510","204,060","1,45%"
"2024-06-16","204,550","204,560","205,150","204,550","0,48%"
"2024-06-09","203,570","203,380","203,570","201,200","0,94%"
"2024-06-02","201,670","201,080","201,670","199,900","0,28%"
"2024-05-26","201,110","204,670","204,670","201,110","-1,97%"
"2024-05-19","205,160","206,260","206,430","205,160","-0,39%"
"2024-05-12","205,970","205,760","206,340","205,270","0,52%"
"2024-05-05","204,910","201,300","204,910","201,300","2,06%"
"2024-04-28","200,770","201,970","202,520","200,770","0,53%"
"2024-04-21","199,720","196,460","200,280","196,460","0,58%"
"2024-04-14","198,570","202,290","202,290","198,570","-1,75%"
"2024-04-07","202,100","200,470","202,100","199,070","2,06%"
"2024-03-31","198,020","203,230","203,230","198,020","-1,69%"
"2024-03-24","201,420","199,770","201,420","199,610","1,42%"
"2024-03-17","198,600","192,470","198,600","192,470","2,86%"
"2024-03-10","193,080","190,180","193,080","190,180","0,66%"
"2024-03-03","191,810","191,580","192,170","190,700","1,05%"
"2024-02-25","189,820","189,800","189,820","188,750","-0,05%"
"2024-02-18","189,910","189,510","189,910","186,950","0,08%"
"2024-02-11","189,760","189,290","189,780","188,520","0,35%"
"2024-02-04","189,090","187,770","189,500","187,770","1,84%"
"2024-01-28","185,670","184,910","187,010","182,580","0,43%"
"2024-01-21","184,880","183,490","184,880","183,490","1,71%"
"2024-01-14","181,770","179,110","181,770","179,110","1,55%"
"2024-01-07","179,000","175,370","179,000","175,370","2,17%"
"2023-12-31","175,200","175,990","176,910","175,200","0,55%"
"2023-12-24","174,240","174,060","174,240","173,550","-0,47%"
"2023-12-17","175,060","176,540","176,540","174,280","-0,43%"
"2023-12-10","175,810","175,450","178,170","175,450","1,10%"
"2023-12-03","173,900","174,780","174,780","173,510","-0,28%"
"2023-11-26","174,380","173,130","174,380","171,760","0,19%"
"2023-11-19","174,050","173,120","174,050","171,820","0,74%"
"2023-11-12","172,770","174,130","174,130","172,130","0,71%"
"2023-11-05","171,550","172,820","173,460","171,550","-1,65%"
"2023-10-29","174,420","166,900","174,420","166,900","3,70%"
"2023-10-22","168,200","168,320","170,740","168,200","-1,21%"
"2023-10-15","170,260","173,350","173,350","170,260","-1,88%"
"2023-10-08","173,530","172,240","173,530","172,240","1,82%"
"2023-10-01","170,420","170,230","171,920","170,230","-0,75%"
"2023-09-24","171,710","175,530","175,530","171,640","-3,10%"
