"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2024-08-25","195,192","196,075","196,075","194,372","0,41%"
"2024-08-18","194,403","197,878","197,878","194,403","-1,23%"
"2024-08-11","196,826","189,986","196,826","189,986","3,90%"
"2024-08-04","189,441","191,445","191,445","184,559","-4,10%"
"2024-07-28","197,546","200,111","201,231","197,546","-0,31%"
"2024-07-21","198,153","199,908","203,804","198,153","-0,67%"
"2024-07-14","199,483","202,454","204,639","199,483","-0,23%"
"2024-07-07","199,942","199,088","202,219","199,088","1,14%"
"2024-06-30","197,681","197,100","198,494","197,100","-0,16%"
"2024-06-23","197,991","196,348","197,991","194,521","1,45%"
"2024-06-16","195,168","195,494","195,793","195,168","0,55%"
"2024-06-09","194,101","194,051","194,101","191,677","0,71%"
"2024-06-02","192,740","191,202","192,740","190,839","0,89%"
"2024-05-26","191,047","194,668","194,668","191,047","-2,25%"
"2024-05-19","195,437","195,212","195,925","195,212","0,11%"
"2024-05-12","195,229","194,852","195,433","194,312","0,55%"
"2024-05-05","194,168","190,838","194,168","190,838","1,93%"
"2024-04-28","190,489","192,260","192,331","190,301","0,69%"
"2024-04-21","189,190","185,760","189,472","185,760","0,60%"
"2024-04-14","188,069","191,795","191,795","188,069","-1,89%"
"2024-04-07","191,691","190,212","191,691","188,950","2,01%"
"2024-03-31","187,918","193,480","193,480","187,918","-2,04%"
"2024-03-24","191,833","190,822","191,833","190,270","1,23%"
"2024-03-17","189,500","183,307","189,500","183,307","2,94%"
"2024-03-10","184,087","180,914","184,087","180,914","0,74%"
"2024-03-03","182,733","182,149","182,933","181,424","0,88%"
"2024-02-25","181,137","180,645","181,137","179,636","0,21%"
"2024-02-18","180,764","180,152","180,764","177,439","0,27%"
"2024-02-11","180,285","180,224","180,647","179,492","0,30%"
"2024-02-04","179,741","178,132","179,741","178,132","1,75%"
"2024-01-28","176,644","175,687","177,958","173,481","0,48%"
"2024-01-21","175,805","174,484","175,805","174,484","1,82%"
"2024-01-14","172,668","169,996","172,668","169,996","1,62%"
"2024-01-07","169,910","165,798","169,910","165,798","2,53%"
"2023-12-31","165,712","166,349","167,234","165,712","0,71%"
"2023-12-24","164,551","164,448","164,551","164,448","-0,57%"
"2023-12-17","165,493","166,627","166,627","164,590","-0,17%"
"2023-12-10","165,779","165,800","168,306","165,779","0,67%"
"2023-12-03","164,669","165,426","165,426","164,232","-0,33%"
"2023-11-26","165,207","164,098","165,207","162,802","0,19%"
"2023-11-19","164,889","163,823","164,889","162,996","0,62%"
"2023-11-12","163,869","164,644","164,644","162,904","1,05%"
"2023-11-05","162,160","163,069","163,797","162,160","-1,40%"
"2023-10-29","164,461","157,272","164,461","157,272","3,72%"
"2023-10-22","158,555","158,667","161,205","158,555","-1,12%"
"2023-10-15","160,352","163,795","163,795","160,352","-2,29%"
"2023-10-08","164,109","162,907","164,109","162,907","1,87%"
"2023-10-01","161,092","160,417","162,197","160,417","-0,37%"
"2023-09-24","161,688","165,293","165,293","161,621","-3,22%"
"2023-09-17","167,063","171,631","171,631","167,063","-3,40%"
"2023-09-10","172,947","170,107","172,947","170,107","1,34%"
"2023-09-03","170,654","170,871","171,572","170,654","0,60%"
"2023-08-27","169,644","167,571","169,644","167,571","2,38%"
"2023-08-20","165,694","164,635","166,718","164,635","1,18%"
