"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2024-08-25","932,036","939,153","939,153","926,998","0,09%"
"2024-08-18","931,166","952,492","952,492","931,166","-1,95%"
"2024-08-11","949,644","909,663","949,644","909,663","4,71%"
"2024-08-04","906,933","916,583","916,583","876,698","-4,06%"
"2024-07-28","945,328","958,221","963,539","945,328","-0,29%"
"2024-07-21","948,077","957,264","978,911","948,077","-0,54%"
"2024-07-14","953,196","972,091","986,799","953,196","-0,79%"
"2024-07-07","960,750","960,582","979,643","960,582","0,96%"
"2024-06-30","951,647","943,932","957,350","943,932","0,11%"
"2024-06-23","950,602","934,616","950,602","927,047","1,16%"
"2024-06-16","939,671","938,908","944,651","938,908","1,13%"
"2024-06-09","929,175","912,960","929,175","910,419","2,60%"
"2024-06-02","905,606","893,805","905,606","889,877","1,08%"
"2024-05-26","895,926","911,523","911,523","895,926","-1,60%"
"2024-05-19","910,461","909,869","915,389","909,869","0,10%"
"2024-05-12","909,526","904,554","912,354","902,630","0,75%"
"2024-05-05","902,772","885,955","902,772","885,955","2,52%"
"2024-04-28","880,563","886,804","888,894","879,086","0,92%"
"2024-04-21","872,496","854,603","873,564","854,603","0,34%"
"2024-04-14","869,526","890,709","890,709","869,526","-2,67%"
"2024-04-07","893,397","880,159","893,397","872,452","3,49%"
"2024-03-31","863,257","894,151","894,151","863,257","-2,70%"
"2024-03-24","887,182","881,370","887,182","878,013","1,50%"
"2024-03-17","874,071","844,562","874,071","844,562","3,03%"
"2024-03-10","848,405","833,444","848,405","833,444","0,28%"
"2024-03-03","846,009","849,050","850,806","839,607","0,36%"
"2024-02-25","842,964","839,211","842,964","834,902","0,21%"
"2024-02-18","841,233","836,596","841,233","821,492","0,05%"
"2024-02-11","840,832","842,891","843,848","837,814","0,20%"
"2024-02-04","839,182","829,313","839,494","829,313","2,94%"
"2024-01-28","815,201","812,728","824,484","796,629","-0,02%"
"2024-01-21","815,390","810,884","816,678","810,321","1,91%"
"2024-01-14","800,075","780,433","800,075","780,433","2,22%"
"2024-01-07","782,724","756,655","782,724","756,655","3,53%"
"2023-12-31","756,037","762,404","765,343","756,037","0,09%"
"2023-12-24","755,377","755,586","755,586","752,504","-0,76%"
"2023-12-17","761,134","768,345","768,345","755,078","-0,29%"
"2023-12-10","763,322","762,418","779,733","762,418","1,06%"
"2023-12-03","755,316","757,072","757,072","750,760","0,06%"
"2023-11-26","754,867","750,695","754,867","743,966","-0,31%"
"2023-11-19","757,215","750,883","757,215","746,609","0,70%"
"2023-11-12","751,967","760,511","760,511","747,616","1,30%"
"2023-11-05","742,330","745,526","754,450","742,330","-1,42%"
"2023-10-29","753,029","716,395","753,029","716,395","4,34%"
"2023-10-22","721,721","744,718","744,718","721,721","-3,60%"
"2023-10-15","748,674","750,188","750,987","748,674","-0,29%"
"2023-10-08","750,820","747,773","750,820","746,068","1,78%"
"2023-10-01","737,672","729,604","743,938","729,604","0,22%"
"2023-09-24","736,024","751,856","751,856","735,446","-2,93%"
"2023-09-17","758,232","779,608","781,422","758,232","-3,87%"
"2023-09-10","788,770","776,517","788,770","776,517","1,30%"
"2023-09-03","778,656","782,664","787,681","778,656","0,20%"
"2023-08-27","777,087","766,185","777,087","764,560","3,15%"
"2023-08-20","753,339","750,041","762,278","750,041","1,22%"
"2023-08-13","744,232","752,637","759,735","744,232","0,47%"
"2023-08-06","740,779","741,458","756,434","740,779","-2,19%"
"2023-07-30","757,395","757,349","762,011","757,349","1,37%"
"2023-07-23","747,175","742,552","749,253","742,552","1,55%"
"2023-07-16","735,798","726,060","739,699","726,060","1,77%"
"2023-07-09","722,986","748,719","748,729","722,986","-5,02%"
"2023-07-02","761,178","755,879","761,447","755,879","1,59%"
"2023-06-25","749,262","738,281","749,262","727,433","2,07%"
"2023-06-18","734,078","737,293","748,784","734,078","-0,70%"
"2023-06-11","739,231","728,838","739,231","728,838","1,73%"
"2023-06-04","726,635","723,292","729,252","723,292","0,98%"
"2023-05-28","719,585","710,880","719,585","710,880","2,69%"
"2023-05-21","700,768","687,385","700,768","684,492","3,64%"
"2023-05-14","676,154","663,747","676,154","663,747","2,14%"
"2023-05-07","661,982","651,389","661,982","649,884","2,63%"
"2023-04-30","644,993","658,539","658,539","644,993","-1,80%"
"2023-04-23","656,790","657,508","657,508","645,093","0,15%"
"2023-04-16","655,805","656,865","662,441","655,805","-0,12%"
"2023-04-09","656,608","659,510","660,781","650,631","0,29%"
"2023-04-02","654,679","659,133","660,238","649,484","1,02%"
"2023-03-26","648,049","641,117","648,049","634,086","3,23%"
"2023-03-19","627,796","636,272","640,332","627,796","-2,38%"
"2023-03-12","643,102","627,317","643,102","625,527","-0,09%"
"2023-03-05","643,698","650,620","653,136","643,698","0,85%"
"2023-02-26","638,252","636,922","638,252","630,846","-0,43%"
"2023-02-19","640,988","655,704","655,704","630,145","-2,09%"
"2023-02-12","654,674","651,344","663,956","651,344","1,74%"
"2023-02-05","643,481","664,380","677,285","643,481","-2,74%"
"2023-01-29","661,595","640,319","661,595","633,142","4,01%"
"2023-01-22","636,108","620,946","636,108","620,946","3,91%"
"2023-01-15","612,200","629,131","629,131","611,291","-2,77%"
"2023-01-08","629,645","613,112","629,645","609,664","3,04%"
"2023-01-01","611,082","603,073","611,082","603,073","0,69%"
"2022-12-25","606,878","610,701","610,701","595,124","0,37%"
"2022-12-18","604,626","607,488","611,063","601,863","-0,84%"
"2022-12-11","609,718","618,846","629,020","609,718","-2,27%"
"2022-12-04","623,876","643,725","643,725","618,637","-2,80%"
"2022-11-27","641,831","636,095","660,738","629,659","0,37%"
"2022-11-20","639,481","637,362","646,925","637,362","0,19%"
"2022-11-13","638,275","629,703","638,275","628,681","0,21%"
"2022-11-06","636,959","622,762","636,959","612,596","1,58%"
"2022-10-30","627,061","649,682","649,682","626,929","-0,42%"
"2022-10-23","629,736","642,038","645,145","629,736","1,44%"
"2022-10-16","620,802","614,257","627,399","614,257","-2,04%"
"2022-10-09","633,706","616,470","633,706","615,036","0,54%"
"2022-10-02","630,300","616,713","632,112","616,713","2,28%"
"2022-09-25","616,238","632,631","637,291","616,238","-2,38%"
"2022-09-18","631,236","636,583","648,641","631,236","-0,07%"
"2022-09-11","631,652","656,255","656,255","631,652","-3,37%"
"2022-09-04","653,685","644,477","653,685","643,331","0,36%"
"2022-08-28","651,340","652,587","652,587","643,415","-2,92%"
"2022-08-21","670,933","678,891","678,891","669,369","-1,77%"
"2022-08-14","682,993","673,805","682,993","673,805","4,03%"
"2022-08-07","656,521","648,086","656,521","636,849","2,29%"
"2022-07-31","641,835","634,459","644,433","634,459","0,63%"
"2022-07-24","637,795","613,974","637,795","613,974","2,81%"
"2022-07-17","620,344","614,913","620,344","604,406","0,93%"
"2022-07-10","614,610","624,482","624,482","605,468","-1,09%"
"2022-07-03","621,359","600,849","622,966","600,849","3,92%"
